date,event,bout,fighter,opponent,round_time_cum,sslpm_cum,sig_str_acc_%_cum,ssapm_cum,sig_str_def_%_cum,td_land_15m_cum,td_acc_%_cum,td_abs_15m_cum,td_def_%_cum,sub_att_15m_cum,sub_att_abs_15m_cum
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Alexander Volkanovski vs. Diego Lopes,Alexander Volkanovski,Diego Lopes,3093.2799999999997,5.942236073035742,0.5452684663304658,3.832824703874205,0.5755102040816327,0.7516293384368696,0.2012987012987013,0.5819065845962862,0.6962025316455696,0.014547664614907155,0.014547664614907155
2025-04-12,UFC 314: Volkanovski vs. Lopes,Alexander Volkanovski vs. Diego Lopes,Alexander Volkanovski,Diego Lopes,2293.2799999999997,5.810454894299868,0.5241523090236803,4.241959115328264,0.5637276885819356,0.8045245238261356,0.2942583732057416,0.5755947812739832,0.7206349206349206,0.019622549361613062,0.019622549361613062
2024-02-17,UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Alexander Volkanovski,Ilia Topuria,2284.75,5.81157675894518,0.524511159391665,4.242477295108874,0.5637910085054678,0.8075281759492287,0.2942583732057416,0.5777437356384725,0.7206349206349206,0.019695809169493383,0.019695809169493383
2023-10-21,UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev vs. Alexander Volkanovski,Alexander Volkanovski,Islam Makhachev,2155.15,6.1016634572999555,0.5234247502288739,4.245180149873558,0.5744849076787126,0.8560889033245945,0.2942583732057416,0.5011252117022017,0.7455830388692579,0.020880217154258404,0.020880217154258404
2023-07-08,UFC 290: Volkanovski vs. Rodriguez,Alexander Volkanovski vs. Yair Rodriguez,Alexander Volkanovski,Yair Rodriguez,2140.83,6.111648285945171,0.5228162710780788,4.254891794304078,0.5747630829559778,0.8127688793598745,0.2857142857142857,0.5044772354647497,0.7455830388692579,0.021019884811031238,0.021019884811031238
2023-02-11,UFC 284: Makhachev vs. Volkanovski,Islam Makhachev vs. Alexander Volkanovski,Alexander Volkanovski,Islam Makhachev,1752.03,6.728195293459587,0.5269557443004024,4.459398526280943,0.5980346761331481,0.9931336792178216,0.3391812865497076,0.06849197787709115,0.9349593495934959,0.025684491703909178,0.025684491703909178
2022-07-02,UFC 276: Adesanya vs. Cannonier,Alexander Volkanovski vs. Max Holloway,Alexander Volkanovski,Max Holloway,952.03,5.693097906578575,0.5178673800879037,4.358055943615223,0.5984709184167232,1.8276734976838966,0.3391812865497076,0.1260464481161308,0.8933333333333333,0.04726741804354905,0.04726741804354905
2022-04-09,UFC 273: Volkanovski vs. The Korean Zombie,Alexander Volkanovski vs. Chan Sung Jung,Alexander Volkanovski,Chan Sung Jung,936.28,5.641474772503952,0.5151662927923535,4.380099970094417,0.5982562695924765,1.794335027983082,0.33532934131736525,0.1281667877130773,0.8933333333333333,0.04806254539240398,0.04806254539240398
2021-09-25,UFC 266: Volkanovski vs. Ortega,Alexander Volkanovski vs. Brian Ortega,Alexander Volkanovski,Brian Ortega,911.28,5.5614081292248265,0.5119191919191919,4.403695900272145,0.5976539001403649,1.8435607058203847,0.33532934131736525,0.09876218066894916,0.9142857142857143,0.04938109033447458,0.0
2020-07-11,UFC 251: Usman vs. Masvidal,Alexander Volkanovski vs. Max Holloway,Alexander Volkanovski,Max Holloway,111.28,6.14665708123652,0.5719063545150501,3.136232925952552,0.5988505747126437,2.156721782890007,0.34782608695652173,0.8087706685837527,0.7272727272727273,0.40438533429187634,0.0
2019-12-14,UFC 245: Usman vs. Covington,Max Holloway vs. Alexander Volkanovski,Alexander Volkanovski,Max Holloway,86.28,6.108020398701901,0.5901455767077267,2.491886879925823,0.6208112874779541,2.781641168289291,0.38095238095238093,1.043115438108484,0.7272727272727273,0.521557719054242,0.0
2019-05-11,UFC 237: Namajunas vs. Andrade,Jose Aldo vs. Alexander Volkanovski,Alexander Volkanovski,Jose Aldo,71.28,6.0606060606060606,0.602510460251046,2.6094276094276094,0.6188524590163935,3.367003367003367,0.41025641025641024,1.2626262626262628,0.7142857142857143,0.6313131313131314,0.0
2018-12-29,UFC 232: Jones vs. Gustafsson 2,Chad Mendes vs. Alexander Volkanovski,Alexander Volkanovski,Chad Mendes,62.05,6.091861402095085,0.6374367622259697,2.546333601933924,0.6384439359267735,3.8678485092667207,0.41025641025641024,0.7252215954875101,0.8235294117647058,0.7252215954875101,0.0
2018-07-14,UFC Fight Night: Dos Santos vs. Ivanov,Darren Elkins vs. Alexander Volkanovski,Alexander Volkanovski,Darren Elkins,47.05,5.9086078639744954,0.6191536748329621,1.6153028692879916,0.7132075471698114,4.463336875664187,0.5185185185185185,0.6376195536663124,0.8181818181818181,0.0,0.0
2018-02-10,UFC 221: Romero vs. Rockhold,Alexander Volkanovski vs. Jeremy Kennedy,Alexander Volkanovski,Jeremy Kennedy,37.1,5.525606469002695,0.6231003039513677,1.8328840970350404,0.7166666666666667,4.851752021563342,0.5,0.8086253369272236,0.75,0.0,0.0
2017-11-18,UFC Fight Night: Werdum vs. Tybura,Alexander Volkanovski vs. Shane Young,Alexander Volkanovski,Shane Young,22.1,6.199095022624434,0.6372093023255814,2.262443438914027,0.6855345911949686,4.751131221719457,0.7,0.6787330316742082,0.8571428571428572,0.0,0.0
2017-06-10,UFC Fight Night: Lewis vs. Hunt,Alexander Volkanovski vs. Mizuto Hirota,Alexander Volkanovski,Mizuto Hirota,7.1,7.042253521126761,0.6578947368421053,0.5633802816901409,0.6,6.338028169014085,1.0,2.1126760563380285,0.5,0.0,0.0
2016-11-26,UFC Fight Night: Whittaker vs. Brunson,Yusuke Kasuya vs. Alexander Volkanovski,Alexander Volkanovski,Yusuke Kasuya,0.0,,,,,,,,,,
